timestamp,queue_size,batch_current_size,request_rate
2024-12-05 14:27:40.732000,0.0,8.0,0.0
2024-12-05 14:27:42.740000,0.0,2.0,1.0629333333333333
2024-12-05 14:27:44.748000,0.0,4.0,2.0
2024-12-05 14:27:46.758000,0.0,0.0,1.0
2024-12-05 14:27:48.767000,3.0,8.0,3.0
2024-12-05 14:27:50.776000,7.0,8.0,6.0
2024-12-05 14:27:52.784000,16.0,8.0,8.0
2024-12-05 14:27:54.793000,16.0,7.0,7.0
2024-12-05 14:27:56.801000,8.0,8.0,2.0
2024-12-05 14:27:58.811000,4.0,8.0,1.0
2024-12-05 14:28:00.819000,19.0,8.0,7.0
2024-12-05 14:28:02.827000,22.0,8.0,9.0
2024-12-05 14:28:04.835000,20.0,7.0,5.0
2024-12-05 14:28:06.843000,25.0,8.0,5.0
2024-12-05 14:28:08.852000,25.0,8.0,5.0
2024-12-05 14:28:10.860000,34.0,8.0,7.0
2024-12-05 14:28:12.868000,28.0,8.0,6.0
2024-12-05 14:28:14.876000,36.0,8.0,5.0
2024-12-05 14:28:16.883000,32.0,7.0,5.0
2024-12-05 14:28:18.893000,31.0,8.0,3.0
2024-12-05 14:28:20.901000,27.0,8.0,3.0
2024-12-05 14:28:22.909000,29.0,8.0,4.0
2024-12-05 14:28:24.917000,24.0,8.0,4.0
2024-12-05 14:28:26.925000,19.0,7.0,2.0
2024-12-05 14:28:28.934000,16.0,8.0,2.0
2024-12-05 14:28:30.943000,11.0,8.0,2.0
2024-12-05 14:28:32.951000,7.0,8.0,2.0
2024-12-05 14:28:34.959000,7.0,8.0,3.0
2024-12-05 14:28:36.966000,2.0,8.0,3.0
2024-12-05 14:28:38.974000,0.0,0.0,1.0
2024-12-05 14:28:40.981000,0.0,0.0,0.0
2024-12-05 14:28:42.991000,0.0,8.0,2.0
2024-12-05 14:28:44.999000,0.0,4.0,3.0
2024-12-05 14:28:47.006000,0.0,1.0,2.0
2024-12-05 14:28:49.014000,3.0,8.0,4.0
2024-12-05 14:28:51.021000,10.0,8.0,7.0
2024-12-05 14:28:53.029000,14.0,8.0,8.0
2024-12-05 14:28:55.037000,13.0,8.0,6.0
2024-12-05 14:28:57.045000,20.0,8.0,6.0
2024-12-05 14:28:59.054000,20.0,8.0,6.0
2024-12-05 14:29:01.063000,40.0,7.0,9.0
2024-12-05 14:29:03.073000,35.0,8.0,8.0
2024-12-05 14:29:05.083000,30.0,8.0,2.0
2024-12-05 14:29:07.092000,25.0,8.0,2.0
2024-12-05 14:29:09.100000,24.0,8.0,3.0
2024-12-05 14:29:11.108000,16.0,8.0,2.0
