0,1734943130.879384,1734943132.4517055,1.5723214149475098,0
1,1734943134.5821178,1734943136.4638126,1.8816947937011719,0
2,1734943135.4225204,1734943137.7293348,2.306814432144165,0
3,1734943136.5742366,1734943138.1874833,1.6132466793060303,0
4,1734943139.9144645,1734943142.142288,2.227823495864868,0
5,1734943147.7381706,1734943149.9652135,2.2270429134368896,0
7,1734943154.8838685,1734943156.520151,1.6362824440002441,0
6,1734943154.697042,1734943157.0040755,2.3070335388183594,0
8,1734943156.0226336,1734943158.3050303,2.2823967933654785,0
9,1734943158.6766496,1734943160.960132,2.283482313156128,0
10,1734943159.5120702,1734943161.8324506,2.320380449295044,0
11,1734943160.6448512,1734943162.9258952,2.2810440063476562,0
12,1734943165.5489225,1734943167.4460623,1.8971397876739502,0
13,1734943166.5210636,1734943167.85819,1.3371264934539795,0
14,1734943166.6609712,1734943168.004764,1.3437929153442383,0
15,1734943167.895457,1734943170.1897817,2.2943246364593506,0
16,1734943168.3743987,1734943170.6768963,2.302497625350952,0
17,1734943170.3804016,1734943172.6287432,2.2483415603637695,0
18,1734943175.4177978,1734943177.2604625,1.8426647186279297,0
19,1734943176.9841766,1734943178.4956338,1.5114572048187256,0
20,1734943179.3328524,1734943181.6278,2.294947624206543,0
21,1734943179.8905334,1734943182.2152596,2.324726104736328,0
22,1734943180.8552845,1734943183.0213323,2.1660478115081787,0
23,1734943184.6822574,1734943186.903507,2.221249580383301,0
24,1734943190.4042926,1734943192.2650084,1.8607158660888672,0
25,1734943191.1999307,1734943193.4689472,2.2690165042877197,0
26,1734943198.0209143,1734943200.2424436,2.221529245376587,0
27,1734943200.7201874,1734943202.942972,2.2227845191955566,0
28,1734943203.525859,1734943205.7498574,2.2239983081817627,0
29,1734943208.1765475,1734943209.7183013,1.5417537689208984,0
31,1734943208.8864696,1734943210.8028467,1.916377067565918,0
30,1734943208.7627678,1734943211.1033275,2.340559720993042,0
32,1734943210.1489549,1734943212.430471,2.2815160751342773,0
33,1734943211.271779,1734943213.5466678,2.274888753890991,0
34,1734943216.9083498,1734943219.1500704,2.241720676422119,0
35,1734943218.746822,1734943220.0359178,1.2890956401824951,0
36,1734943222.5277572,1734943224.751324,2.223566770553589,0
37,1734943224.7705834,1734943226.991293,2.2207095623016357,0
38,1734943230.1528773,1734943232.4700725,2.317195177078247,0
39,1734943231.2009628,1734943232.8094985,1.6085357666015625,0
40,1734943231.2696714,1734943233.2453542,1.9756827354431152,0
41,1734943231.9370646,1734943234.3075035,2.370438814163208,0
42,1734943232.1515625,1734943234.5173392,2.365776777267456,0
43,1734943233.8443012,1734943236.1454911,2.30118989944458,0
44,1734943235.4915893,1734943237.088022,1.5964326858520508,0
45,1734943238.2324624,1734943240.4561324,2.22367000579834,0
46,1734943247.273591,1734943249.4975898,2.223998785018921,0
47,1734943252.2776384,1734943254.141405,1.8637666702270508,0
48,1734943253.6999474,1734943255.9525514,2.2526040077209473,0
49,1734943256.0478823,1734943258.2696095,2.221727132797241,0
50,1734943258.4790375,1734943260.0851963,1.60615873336792,0
51,1734943258.9491658,1734943261.26218,2.313014268875122,0
52,1734943260.8543518,1734943263.2048173,2.3504655361175537,0
53,1734943261.0791807,1734943263.4291499,2.3499691486358643,0
54,1734943261.1732955,1734943263.509938,2.3366425037384033,0
55,1734943265.6102862,1734943267.864343,2.254056692123413,0
56,1734943265.8681111,1734943268.1852767,2.3171656131744385,0
57,1734943267.697002,1734943270.040927,2.3439249992370605,0
58,1734943268.1258643,1734943270.4567525,2.330888271331787,0
59,1734943268.3656886,1734943270.694113,2.3284244537353516,0
