timestamp,queue_size,batch_current_size,request_rate
2024-11-24 17:44:03.078000,0.0,1.0,0.0
2024-11-24 17:44:08.085000,91.0,1.0,22.0
2024-11-24 17:44:13.090000,183.0,1.0,19.0
2024-11-24 17:44:18.100000,262.0,1.0,18.0
2024-11-24 17:44:23.105000,390.0,1.0,25.0
2024-11-24 17:44:28.110000,399.0,1.0,1.0
2024-11-24 17:44:33.116000,399.0,1.0,0.75
2024-11-24 17:44:38.121000,399.0,1.0,1.0
2024-11-24 17:44:43.128000,399.0,1.0,0.75
2024-11-24 17:44:48.133000,399.0,1.0,1.0
2024-11-24 17:44:53.138000,399.0,1.0,1.0
2024-11-24 17:44:58.144000,399.0,1.0,0.75
2024-11-24 17:45:03.148000,399.0,1.0,1.0
2024-11-24 17:45:08.156000,399.0,1.0,0.75
2024-11-24 17:45:13.162000,399.0,1.0,1.0
2024-11-24 17:45:18.167000,399.0,1.0,0.75
2024-11-24 17:45:23.172000,399.0,1.0,1.0
2024-11-24 17:45:28.177000,399.0,1.0,1.0
2024-11-24 17:45:33.185000,399.0,1.0,1.0
2024-11-24 17:45:38.190000,399.0,1.0,1.0
2024-11-24 17:45:43.195000,399.0,1.0,0.75
2024-11-24 17:45:48.200000,399.0,1.0,1.0
2024-11-24 17:45:53.205000,399.0,1.0,0.75
2024-11-24 17:45:58.210000,399.0,1.0,1.0
2024-11-24 17:46:03.216000,399.0,1.0,1.0
2024-11-24 17:46:08.221000,399.0,1.0,1.0
2024-11-24 17:46:13.228000,399.0,1.0,1.0
2024-11-24 17:46:18.234000,399.0,1.0,0.75
2024-11-24 17:46:23.242000,399.0,1.0,1.0
2024-11-24 17:46:28.247000,399.0,1.0,0.75
2024-11-24 17:46:33.252000,399.0,1.0,1.0
2024-11-24 17:46:38.257000,399.0,1.0,1.0
2024-11-24 17:46:43.262000,399.0,1.0,1.0
2024-11-24 17:46:48.270000,399.0,1.0,1.0
2024-11-24 17:46:53.275000,399.0,1.0,0.75
2024-11-24 17:46:58.280000,399.0,1.0,1.0
2024-11-24 17:47:03.285000,399.0,1.0,0.75
2024-11-24 17:47:08.290000,399.0,1.0,1.0
2024-11-24 17:47:13.297000,399.0,0.0,1.0
2024-11-24 17:47:18.303000,399.0,1.0,1.0
2024-11-24 17:47:23.308000,399.0,1.0,1.0
2024-11-24 17:47:28.313000,399.0,1.0,0.75
2024-11-24 17:47:33.319000,399.0,1.0,1.0
2024-11-24 17:47:38.324000,399.0,1.0,0.75
2024-11-24 17:47:43.332000,399.0,1.0,1.0
2024-11-24 17:47:48.338000,399.0,1.0,0.75
2024-11-24 17:47:53.343000,399.0,1.0,1.0
2024-11-24 17:47:58.348000,399.0,1.0,1.0
2024-11-24 17:48:03.353000,399.0,1.0,1.0
2024-11-24 17:48:08.359000,399.0,1.0,1.0
2024-11-24 17:48:13.365000,399.0,1.0,0.75
2024-11-24 17:48:18.372000,399.0,1.0,1.0
2024-11-24 17:48:23.378000,399.0,1.0,0.75
2024-11-24 17:48:28.384000,399.0,1.0,1.0
2024-11-24 17:48:33.391000,399.0,1.0,1.0
2024-11-24 17:48:38.396000,399.0,1.0,1.0
2024-11-24 17:48:43.401000,399.0,1.0,1.0
2024-11-24 17:48:48.405000,399.0,1.0,0.75
2024-11-24 17:48:53.411000,399.0,1.0,1.0
2024-11-24 17:48:58.419000,399.0,1.0,0.75
2024-11-24 17:49:03.425000,399.0,1.0,1.0
2024-11-24 17:49:08.431000,399.0,1.0,1.0
2024-11-24 17:49:13.436000,399.0,1.0,0.75
2024-11-24 17:49:18.441000,399.0,1.0,1.0
2024-11-24 17:49:23.447000,399.0,1.0,24.0
2024-11-24 17:49:28.452000,399.0,1.0,21.25
2024-11-24 17:49:33.458000,343.0,1.0,10.0
2024-11-24 17:49:38.463000,234.0,1.0,0.0
2024-11-24 17:49:43.469000,132.0,1.0,0.0
2024-11-24 17:49:48.477000,62.0,1.0,0.0
